1 Pb:s 1 1 1 up
2 Pb:s 1 1 1 dn
3 Pb:p 1 1 1 X up
4 Pb:p 1 1 1 X dn
5 Pb:p 1 1 1 Y up
6 Pb:p 1 1 1 Y dn
7 Pb:p 1 1 1 Z up
8 Pb:p 1 1 1 Z dn
9 I:p 1 1 1 x X up
10 I:p 1 1 1 x X dn
11 I:p 1 1 1 x Y up
12 I:p 1 1 1 x Y dn
13 I:p 1 1 1 x Z up
14 I:p 1 1 1 x Z dn
15 I:p 1 1 1 y X up
16 I:p 1 1 1 y X dn
17 I:p 1 1 1 y Y up
18 I:p 1 1 1 y Y dn
19 I:p 1 1 1 y Z up
20 I:p 1 1 1 y Z dn
21 I:p 1 1 1 z X up
22 I:p 1 1 1 z X dn
23 I:p 1 1 1 z Y up
24 I:p 1 1 1 z Y dn
25 I:p 1 1 1 z Z up
26 I:p 1 1 1 z Z dn
27 Pb:s 1 1 2 up
28 Pb:s 1 1 2 dn
29 Pb:p 1 1 2 X up
30 Pb:p 1 1 2 X dn
31 Pb:p 1 1 2 Y up
32 Pb:p 1 1 2 Y dn
33 Pb:p 1 1 2 Z up
34 Pb:p 1 1 2 Z dn
35 I:p 1 1 2 x X up
36 I:p 1 1 2 x X dn
37 I:p 1 1 2 x Y up
38 I:p 1 1 2 x Y dn
39 I:p 1 1 2 x Z up
40 I:p 1 1 2 x Z dn
41 I:p 1 1 2 y X up
42 I:p 1 1 2 y X dn
43 I:p 1 1 2 y Y up
44 I:p 1 1 2 y Y dn
45 I:p 1 1 2 y Z up
46 I:p 1 1 2 y Z dn
47 I:p 1 1 2 z X up
48 I:p 1 1 2 z X dn
49 I:p 1 1 2 z Y up
50 I:p 1 1 2 z Y dn
51 I:p 1 1 2 z Z up
52 I:p 1 1 2 z Z dn
53 Pb:s 1 2 1 up
54 Pb:s 1 2 1 dn
55 Pb:p 1 2 1 X up
56 Pb:p 1 2 1 X dn
57 Pb:p 1 2 1 Y up
58 Pb:p 1 2 1 Y dn
59 Pb:p 1 2 1 Z up
60 Pb:p 1 2 1 Z dn
61 I:p 1 2 1 x X up
62 I:p 1 2 1 x X dn
63 I:p 1 2 1 x Y up
64 I:p 1 2 1 x Y dn
65 I:p 1 2 1 x Z up
66 I:p 1 2 1 x Z dn
67 I:p 1 2 1 y X up
68 I:p 1 2 1 y X dn
69 I:p 1 2 1 y Y up
70 I:p 1 2 1 y Y dn
71 I:p 1 2 1 y Z up
72 I:p 1 2 1 y Z dn
73 I:p 1 2 1 z X up
74 I:p 1 2 1 z X dn
75 I:p 1 2 1 z Y up
76 I:p 1 2 1 z Y dn
77 I:p 1 2 1 z Z up
78 I:p 1 2 1 z Z dn
79 Pb:s 1 2 2 up
80 Pb:s 1 2 2 dn
81 Pb:p 1 2 2 X up
82 Pb:p 1 2 2 X dn
83 Pb:p 1 2 2 Y up
84 Pb:p 1 2 2 Y dn
85 Pb:p 1 2 2 Z up
86 Pb:p 1 2 2 Z dn
87 I:p 1 2 2 x X up
88 I:p 1 2 2 x X dn
89 I:p 1 2 2 x Y up
90 I:p 1 2 2 x Y dn
