#LAMMPS

40000 atoms # the number of atoms
3 atom types # the number of atomic species


0.00 117.915448 xlo xhi #
0.00 117.068785 ylo yhi #
0.00 117.172598 zlo zhi #

Masses

1 132.90545  # Cs
2 207.2  # Pb
3 79.04 # Br


Atoms

1     1  -0.009177110     117.013392630     116.884533480 
2     1   5.945996820     117.056864950     115.960001850 
3     1  11.834687670     116.956724320     117.168523550 
4     1  17.872460910       0.086918260     116.864438380 
5     1  23.504173440     116.526131280     117.180458870 
6     1  29.229522630     116.810250190     117.186138470 
7     1  35.262357570     116.581066970       0.023087610 
8     1  41.017650210     116.875658860       0.033897380 
9     1  47.334062370     116.704766540       0.585350050 
10    1  53.027053200       0.255012080     117.014789570 
11    1  58.704455610      -0.086199370       0.596818200 
12    1  64.697935090     117.037218470       0.711410330 
13    1  70.337243740     117.054448360       0.322565190 
14    1  76.400958380     117.069597360       0.347982670 
15    1  82.030307880      -0.016525590     117.138261980 
16    1  88.177325070     117.034816220     117.128061980 
17    1  94.296747680     116.991958550     116.850785430 
18    1 100.202049990     116.988379710     115.656046750 
19    1 106.096798870     116.971463280     116.790893830 
20    1 112.007242290     116.999370130     115.703714910 
21    1 117.887491350       6.228937610     116.943668150 
22    1   5.914231100       5.237101360     116.546755350 
23    1  11.824980870       6.183369990      -0.035074060 
24    1  17.683536780       5.703809420     116.731557620 
25    1  23.511033760       5.796036440     117.223356000 
26    1  29.260907010       6.062789370     117.197765270 
27    1  35.119349720       5.761670660       0.040720290 
28    1  41.106490070       5.905853050     117.097717300 
29    1  47.078586760       5.824002530       0.444609480 
30    1  53.267900220       5.948391160     117.113057490 
31    1  59.457119350       5.785629960       0.095123980 
32    1  65.204228650       5.808458610     116.894148660 
33    1  71.284703790       5.869041470     116.965014650 
34    1  76.912388330       5.865585130     116.581881350 
35    1  83.003968750       5.837528660     116.613649180 
36    1  88.646369130       5.738853250     116.163397070 
37    1  94.307706740       6.204610480     116.762078740 
38    1 100.189789140       5.256313750     116.328870560 
39    1 106.123310980       6.206097950     116.876090020 
40    1 112.012595660       5.209097340     116.353847070 
41    1 117.898187150      11.833633550       0.194015970 
42    1   5.857557400      11.280259700     116.445682260 
43    1  11.798446120      11.830546210       0.408501780 
44    1  17.726641950      11.442985780     116.888634520 
45    1  23.395589820      12.062266540       0.106120930 
46    1  29.075565150      11.907995640       0.110721510 
47    1  35.136147950      12.068794300       0.066313930 
48    1  40.918516340      11.862069550       0.036758540 
49    1  47.270623860      11.941128450       0.464358520 
50    1  53.013632070      11.389502440     116.846604710 
51    1  58.804728550      11.695211880       0.553156950 
52    1  64.637489280      11.520326570       0.690660000 
53    1  70.268251410      11.725227150       0.373453390 
54    1  76.383374820      11.721594040       0.428944480 
55    1  82.020782670      11.706034660     117.209652880 
56    1  88.250201530      11.652024510       0.013539110 
57    1  94.187263190      11.760686580     117.095222550 
58    1 100.244159960      11.334516870     116.275252380 
59    1 106.112840090      11.879070280       0.074663800 
60    1 111.994922490      11.323564150     116.297578440 
61    1 117.881544410      17.914677920       0.135663180 
62    1   5.855898100      16.934568690     116.852767990 
63    1  11.769053100      17.807241560       0.223402390 
64    1  17.500621620      17.619259530     117.135591220 
65    1  23.142140000      17.755970110       0.111782620 
66    1  29.144941880      17.999257780       0.140136040 
67    1  34.842668200      17.776098920       0.090302430 
68    1  41.007047250      17.908707410       0.153357560 
69    1  46.951094220      17.883673430       0.180750250 
70    1  53.133408220      17.107451190     117.078846320 
71    1  59.009748140      17.981463320       0.398422710 
72    1  64.922759760      17.412448150     117.037443720 
73    1  71.268929060      17.577704790     117.047319030 
74    1  76.936188380      17.556541100     116.625940590 
75    1  83.025278430      17.524253520     116.707984840 
76    1  88.673758540      17.443963070     116.350142070 
77    1  94.350861440      17.868683940     117.006875730 
78    1 100.234988490      16.962445110     116.610087140 
79    1 106.111469910      17.902683050     117.220478200 
80    1 112.004919360      16.962042390     116.713274010 
81    1 117.892496620      23.547285640       0.551994320 
82    1   5.813695920      23.024447080     116.790563400 
83    1  11.741944110      23.593455220       0.522597710 
84    1  17.500289100      23.284592650       0.055346140 
85    1  23.204312100      23.787358590       0.274351350 
86    1  28.877000250      23.709013820       0.257370310 
87    1  35.070181340      23.778405170       0.122072620 
88    1  40.773565230      23.641338700       0.119167650 
89    1  47.166455000      23.596234440       0.545030940 
90    1  53.044433940      23.069127550     116.854977860 
91    1  59.014735960      23.567313760       0.532018780 
92    1  64.761760370      23.104653240     116.888067410 
93    1  70.402165620      23.413822540       0.480689010 
94    1  76.451739840      23.412806380       0.486746310 
95    1  82.065357070      23.394094110       0.108210230 
96    1  88.289948470      23.305112460       0.113558250 
97    1  94.259719870      23.435494310       0.135926580 
98    1 100.241101230      23.026484070     116.561669070 
99    1 106.115214900      23.561820900       0.388109200 
100   1 111.993524010      23.043686160     116.691076830 
101   1 117.862107450      29.660081410       0.493208920 
102   1   5.790165190      28.738801580      -0.012425500 
103   1  11.715701790      29.600921870       0.443286860 
104   1  17.472928000      28.845516800     117.269355770 
105   1  23.090832630      29.421825360       0.341850280 
106   1  29.071020690      29.398371800       0.303335040 
107   1  34.934418210      29.296948090       0.238518590 
108   1  40.917032960      29.290926070       0.168724390 
109   1  47.071445800      29.559868190       0.331142740 
110   1  53.077296970      28.899497220     117.083000430 
111   1  58.965678420      29.541624190       0.438960160 
112   1  64.954351670      29.107757900     117.073134490 
113   1  71.276327080      29.253246310     117.112345130 
114   1  76.971619620      29.257062750     116.698292320 
115   1  83.045609410      29.215568890     116.739832350 
116   1  88.704583990      29.193616150     116.396514300 
117   1  94.294700670      29.381359360     116.989756820 
118   1 100.223614370      28.765184200     116.723685970 
119   1 106.111877900      29.583424770       0.300419570 
120   1 112.001596500      28.688082700     117.029054160 
121   1 117.805015150      35.288376310       0.840942510 
122   1   5.909189040      34.965797950      -0.026259200 
123   1  11.687717390      35.168071740       1.106169550 
124   1  17.750517470      35.237793230       0.087932870 
125   1  23.714692610      35.097427750     117.057541930 
126   1  29.842977750      35.126465490     117.074866970 
127   1  35.524783120      35.092581110     116.857893120 
128   1  41.566421630      35.055549910     116.946731040 
129   1  47.169176480      34.937507110       0.829767310 
130   1  53.012459990      34.986776680     117.014864560 
131   1  59.018966770      34.918701180       0.713184750 
132   1  64.762581060      35.095451630     116.917334780 
133   1  70.424850200      35.075842610       0.475485960 
134   1  76.472870290      35.115470390       0.493581130 
135   1  82.109655540      35.099729330       0.121907550 
136   1  88.261238420      35.014770170       0.124028020 
137   1  94.313012940      34.963327800       0.087377080 
138   1 100.309081840      34.799005370     116.789276850 
139   1 106.174736260      35.243028540       0.600549710 
140   1 111.955857100      34.817731700     117.025801450 
141   1 117.810710470      40.770859690       0.647734600 
142   1   5.868761490      41.237725320       0.195488770 
143   1  11.742255170      40.516560540       0.742146630 
144   1  17.634278780      41.402230380       0.287116150 
145   1  23.341310990      40.873409610       0.819776400 
146   1  29.029240890      40.908822910       0.431990390 
147   1  35.124302170      40.961407870       0.603418350 
148   1  40.903772190      41.002262540       0.182887490 
149   1  47.112742150      40.622994790       0.421305090 
150   1  53.055947200      41.267123640     117.058708200 
151   1  58.959211930      40.656172090       0.434120470 
152   1  64.960872390      41.176615420     117.093695940 
153   1  71.275926170      40.925528630     117.084713490 
